# time*2*pi	ke	dkedt	ke smag	dkedt smag
12.62	0.048440541	0.006484627	0.047842312	0.006279608
12.64	0.048311459	0.00645408	0.047717498	0.006240681
12.66	0.04818303	0.006421474	0.047593407	0.006204561
12.68	0.048055396	0.006381709	0.047470037	0.006168492
12.7	0.047928477	0.006345958	0.047347402	0.006131731
12.72	0.047802374	0.006305126	0.047225502	0.006095002
12.74	0.047677018	0.006267816	0.047104272	0.00606149
12.76	0.047552478	0.006226999	0.046983776	0.006024801
12.78	0.047428712	0.006188291	0.046864011	0.005988258
12.8	0.047305805	0.006145325	0.04674496	0.005952563
12.82	0.047183764	0.006102075	0.046626632	0.005916411
12.84	0.047062657	0.006055371	0.046508932	0.005884999
12.86	0.046942296	0.006018037	0.046391839	0.005854646
12.88	0.046822672	0.005981204	0.046275335	0.005825215
12.9	0.046703668	0.005950195	0.046159422	0.005795631
12.92	0.046585299	0.005918463	0.046044172	0.00576249
12.94	0.046467626	0.005883604	0.045929596	0.005728808
12.96	0.046350672	0.005847732	0.045815673	0.005696144
12.98	0.046234356	0.005815791	0.045702365	0.005665418
13	0.046118729	0.005781338	0.04558965	0.005635752
13.02	0.046003784	0.005747237	0.045477465	0.00560922
13.04	0.045889608	0.005708817	0.045365818	0.005582345
13.06	0.045776132	0.005673825	0.045254716	0.005555131
13.08	0.045663165	0.005648309	0.045144155	0.005528052
13.1	0.045550664	0.005625056	0.045034198	0.005497823
13.12	0.045438665	0.005599971	0.044924838	0.005467997
13.14	0.045327238	0.005571333	0.044816122	0.005435838
13.16	0.045216398	0.005542022	0.044707982	0.005406991
13.18	0.045106227	0.00550852	0.044600396	0.005379306
13.2	0.044996736	0.00547455	0.044493325	0.005353522
13.22	0.044887844	0.005444615	0.044386761	0.005328199
13.24	0.0447795	0.005417218	0.044280712	0.005302463
13.26	0.044671727	0.005388619	0.044175118	0.005279703
13.28	0.044564474	0.005362647	0.044069987	0.005256527
13.3	0.044457655	0.005340994	0.043965332	0.005232747
13.32	0.044351236	0.005320952	0.043861111	0.005211078
13.34	0.044245253	0.005299106	0.043757373	0.005186887
13.36	0.044139676	0.005278872	0.043654161	0.005160614
13.38	0.044034473	0.005260164	0.043551476	0.005134222
13.4	0.043929633	0.005241988	0.043449278	0.005109934
13.42	0.043825192	0.005222066	0.043347519	0.005087917
13.44	0.043721247	0.005197206	0.043246258	0.005063043
13.46	0.043617727	0.005176021	0.043145494	0.005038205
13.48	0.043514548	0.005158965	0.04304518	0.005015731
13.5	0.043411721	0.005141339	0.042945342	0.004991872
13.52	0.043309175	0.005127313	0.042845948	0.004969698
13.54	0.043206817	0.005117865	0.042747008	0.004947032
13.56	0.043104606	0.005110546	0.042648432	0.0049288
13.58	0.043002581	0.005101287	0.042550203	0.004911436
13.6	0.042900797	0.005089187	0.042452361	0.004892105
